Date,Org,Suggest,Target_Price,Movement,Potential
2019-12-19,野村國際,買入,53.2,上升,12.71%
2019-12-11,高盛,買入,54,上升,14.41%
2019-12-06,瑞士銀行,中性,47.7,持平,1.06%
2019-11-29,里昂證券,跑輸大市,45,下降,-4.66%
2019-08-13,大和,優於大市,58.8,上升,24.58%
2019-08-09,花旗集團,買入,55,上升,16.53%
2019-07-22,匯豐銀行,買入,57.7,上升,22.25%
2019-07-19,摩根士丹利,減持,47,下降,-0.42%
2019-05-17,美林,買入,53,上升,12.29%
2018-08-10,德意志銀行,持有,43.2,上升,-8.47%
2018-03-13,天風證券,-,-,-,-
2016-09-07,金利豐金融,-,32.5,-,-31.14%
2016-06-06,中泰國際,-,-,-,-
2014-11-11,交銀國際,-,-,-,-
2014-07-10,永豐金融,-,-,-,-
2013-08-28,瑞士信貸,中性,29.09,持平,-38.37%
